,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
0,2,0.1,2,True,"get_beta, arg_sum=32",100000,2,2,-0.35308629511176426,-0.3535258388806854
1,2,0.1,2,True,"get_beta, arg_sum=32",100000,6,2,-0.35308629511176426,-0.35155119786964245
2,2,0.1,2,True,"get_beta, arg_sum=32",100000,10,2,-0.35308629511176426,-0.34890796587960493
3,2,0.1,2,True,"get_beta, arg_sum=128",100000,2,2,-0.5041527672182385,-0.504106210148884
4,2,0.1,2,True,"get_beta, arg_sum=128",100000,6,2,-0.5041527672182385,-0.07821321507479471
5,2,0.1,2,True,"get_beta, arg_sum=128",100000,10,2,-0.5041527672182385,-0.5072635665662154
6,2,0.1,8,True,"get_beta, arg_sum=32",100000,2,2,-0.9665502214507005,-0.9907133048745208
7,2,0.1,8,True,"get_beta, arg_sum=32",100000,2,4,-0.9665502214507005,-2.9281396333092347
8,2,0.1,8,True,"get_beta, arg_sum=32",100000,2,6,-0.9665502214507005,-2.9281396333099994
9,2,0.1,8,True,"get_beta, arg_sum=32",100000,2,8,-0.9665502214507005,-2.928139633309727
10,2,0.1,8,True,"get_beta, arg_sum=32",100000,6,2,-0.9665502214507005,-1.0760161372347907
11,2,0.1,8,True,"get_beta, arg_sum=32",100000,6,4,-0.9665502214507005,-1.0053983792356722
12,2,0.1,8,True,"get_beta, arg_sum=32",100000,6,6,-0.9665502214507005,-3.3514705621350167
13,2,0.1,8,True,"get_beta, arg_sum=32",100000,6,8,-0.9665502214507005,-1.002529187895103
14,2,0.1,8,True,"get_beta, arg_sum=32",100000,10,2,-0.9665502214507005,-1.1422455339356739
15,2,0.1,8,True,"get_beta, arg_sum=32",100000,10,4,-0.9665502214507005,-0.99963207725763
16,2,0.1,8,True,"get_beta, arg_sum=32",100000,10,6,-0.9665502214507005,nan
17,2,0.1,8,True,"get_beta, arg_sum=32",100000,10,8,-0.9665502214507005,nan
18,2,0.1,8,True,"get_beta, arg_sum=128",100000,2,2,-0.7538568228099415,-0.9751086224456683
19,2,0.1,8,True,"get_beta, arg_sum=128",100000,2,4,-0.7538568228099415,-2.0371009028692533
20,2,0.1,8,True,"get_beta, arg_sum=128",100000,2,6,-0.7538568228099415,-2.037100902869423
21,2,0.1,8,True,"get_beta, arg_sum=128",100000,2,8,-0.7538568228099415,-2.0371009028693576
22,2,0.1,8,True,"get_beta, arg_sum=128",100000,6,2,-0.7538568228099415,-1.0135935248613253
23,2,0.1,8,True,"get_beta, arg_sum=128",100000,6,4,-0.7538568228099415,-1.1601311118952373
24,2,0.1,8,True,"get_beta, arg_sum=128",100000,6,6,-0.7538568228099415,-0.7737005356641606
25,2,0.1,8,True,"get_beta, arg_sum=128",100000,6,8,-0.7538568228099415,-1.9440630182350258
26,2,0.1,8,True,"get_beta, arg_sum=128",100000,10,2,-0.7538568228099415,-1.0559546835392268
27,2,0.1,8,True,"get_beta, arg_sum=128",100000,10,4,-0.7538568228099415,-1.1444328439076743
28,2,0.1,8,True,"get_beta, arg_sum=128",100000,10,6,-0.7538568228099415,-0.8122223476145808
29,2,0.1,8,True,"get_beta, arg_sum=128",100000,10,8,-0.7538568228099415,nan
30,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,2,-0.9925493654761812,-2.0324014289282304
31,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,4,-0.9925493654761812,-2.0359639503281826
32,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,6,-0.9925493654761812,-2.035963950355213
33,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,8,-0.9925493654761812,-2.035963950357147
34,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,10,-0.9925493654761812,-2.0359639503384015
35,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,12,-0.9925493654761812,-2.0359639503561047
36,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,14,-0.9925493654761812,-2.035963950341953
