,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
0,2,0.1,2,True,"get_beta, arg_sum=32",100000,2,2,1.6715674510878755,1.6715674510878755
1,2,0.1,2,True,"get_beta, arg_sum=32",100000,6,2,1.6715674510878755,1.6715674510878755
2,2,0.1,2,True,"get_beta, arg_sum=32",100000,10,2,1.6715674510878755,1.6715674510878755
3,2,0.1,2,True,"get_beta, arg_sum=128",100000,2,2,2.5476748984200177,2.5476748984200177
4,2,0.1,2,True,"get_beta, arg_sum=128",100000,6,2,2.5476748984200177,2.5476748984200177
5,2,0.1,2,True,"get_beta, arg_sum=128",100000,10,2,2.5476748984200177,2.5476748984200177
6,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,2,1.6662227342822025,1.6662227342822025
7,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,4,1.6662227342822025,1.6662227342822025
8,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,6,1.6662227342822025,1.6662227342822025
9,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,8,1.6662227342822025,1.6662227342822025
10,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,10,1.6662227342822025,1.6662227342822025
11,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,12,1.6662227342822025,1.6662227342822025
12,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,14,1.6662227342822025,1.6662227342822025
13,2,0.1,16,True,"get_beta, arg_sum=32",100000,2,16,1.6662227342822025,1.6662227342822025
14,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,2,1.6662227342822025,1.6662227342822025
15,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,4,1.6662227342822025,1.6662227342822025
16,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,6,1.6662227342822025,1.6662227342822025
17,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,8,1.6662227342822025,1.6662227342822025
18,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,10,1.6662227342822025,nan
19,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,12,1.6662227342822025,nan
20,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,14,1.6662227342822025,nan
21,2,0.1,16,True,"get_beta, arg_sum=32",100000,6,16,1.6662227342822025,nan
22,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,2,1.6662227342822025,1.6662227342822025
23,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,4,1.6662227342822025,1.6662227342822025
24,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,6,1.6662227342822025,1.6662227342822025
25,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,8,1.6662227342822025,1.6662227342822025
26,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,10,1.6662227342822025,1.6662227342822025
27,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,12,1.6662227342822025,nan
28,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,14,1.6662227342822025,1.6662227342822025
29,2,0.1,16,True,"get_beta, arg_sum=32",100000,10,16,1.6662227342822025,1.6662227342822025
30,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,2,2.539047736347535,2.539047736347535
31,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,4,2.539047736347535,2.539047736347535
32,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,6,2.539047736347535,2.539047736347535
33,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,8,2.539047736347535,2.539047736347535
34,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,10,2.539047736347535,2.539047736347535
35,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,12,2.539047736347535,2.539047736347535
36,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,14,2.539047736347535,2.539047736347535
37,2,0.1,16,True,"get_beta, arg_sum=128",100000,2,16,2.539047736347535,2.539047736347535
38,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,2,2.539047736347535,2.539047736347535
39,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,4,2.539047736347535,2.539047736347535
40,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,6,2.539047736347535,2.539047736347535
41,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,8,2.539047736347535,2.539047736347535
42,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,10,2.539047736347535,nan
43,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,12,2.539047736347535,2.539047736347535
44,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,14,2.539047736347535,nan
45,2,0.1,16,True,"get_beta, arg_sum=128",100000,6,16,2.539047736347535,nan
46,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,2,2.539047736347535,2.539047736347535
47,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,4,2.539047736347535,2.539047736347535
48,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,6,2.539047736347535,2.539047736347535
49,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,8,2.539047736347535,2.539047736347535
50,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,10,2.539047736347535,2.539047736347535
51,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,12,2.539047736347535,2.539047736347535
52,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,14,2.539047736347535,2.539047736347535
53,2,0.1,16,True,"get_beta, arg_sum=128",100000,10,16,2.539047736347535,2.539047736347535
54,2,0.5,2,True,"get_beta, arg_sum=32",100000,2,2,1.6725923314098994,1.6725923314098994
55,2,0.5,2,True,"get_beta, arg_sum=32",100000,6,2,1.6725923314098994,1.6725923314098994
56,2,0.5,2,True,"get_beta, arg_sum=32",100000,10,2,1.6725923314098994,1.6725923314098994
57,2,0.5,2,True,"get_beta, arg_sum=128",100000,2,2,2.556774988462474,2.556774988462474
58,2,0.5,2,True,"get_beta, arg_sum=128",100000,6,2,2.556774988462474,2.556774988462474
59,2,0.5,2,True,"get_beta, arg_sum=128",100000,10,2,2.556774988462474,2.556774988462474
60,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,2,1.668131986329013,1.668131986329013
61,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,4,1.668131986329013,1.668131986329013
62,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,6,1.668131986329013,1.668131986329013
63,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,8,1.668131986329013,1.668131986329013
64,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,10,1.668131986329013,1.668131986329013
65,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,12,1.668131986329013,1.668131986329013
66,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,14,1.668131986329013,1.668131986329013
