,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
0,2,0.1,2,True,[100000],2,-0.9969535001780874,-0.9972640395508554
1,2,0.1,2,True,[100000],4,-0.9969535001780874,-0.9974433279318252
2,2,0.1,2,True,[100000],6,-0.9969535001780874,-0.9975246789522068
3,2,0.1,4,True,[100000],2,-0.8568982783333052,-1.925822860045417
4,2,0.1,4,True,[100000],2,-0.8568982783333052,-2.383271980909723
5,2,0.1,4,True,[100000],4,-0.8568982783333052,-1.2279328026000367
6,2,0.1,4,True,[100000],4,-0.8568982783333052,-0.9166092250376924
7,2,0.1,4,True,[100000],6,-0.8568982783333052,-1.2020019465856988
8,2,0.1,4,True,[100000],6,-0.8568982783333052,nan
9,2,0.1,8,True,[100000],2,-0.48830348018816444,-0.6219604242694355
10,2,0.1,8,True,[100000],2,-0.48830348018816444,-0.8453732459283129
11,2,0.1,8,True,[100000],2,-0.48830348018816444,-0.8453732459482789
12,2,0.1,8,True,[100000],2,-0.48830348018816444,-0.8453732459368991
13,2,0.1,8,True,[100000],4,-0.48830348018816444,-0.8573926080198081
14,2,0.1,8,True,[100000],4,-0.48830348018816444,-0.5094111259370294
15,2,0.1,8,True,[100000],4,-0.48830348018816444,-0.5063072134787864
16,2,0.1,8,True,[100000],4,-0.48830348018816444,-0.5360518163072711
17,2,0.1,8,True,[100000],6,-0.48830348018816444,-0.8798629930420363
18,2,0.1,8,True,[100000],6,-0.48830348018816444,-0.5408865388895522
19,2,0.1,8,True,[100000],6,-0.48830348018816444,-0.5656713978061728
20,2,0.1,8,True,[100000],6,-0.48830348018816444,-3.1979392708848273
21,2,0.1,16,True,[100000],2,-0.991025160874229,-2.457242922820618
22,2,0.1,16,True,[100000],2,-0.991025160874229,-2.103582514988405
23,2,0.1,16,True,[100000],2,-0.991025160874229,-2.1035825149877265
24,2,0.1,16,True,[100000],2,-0.991025160874229,-2.1035825149868588
25,2,0.1,16,True,[100000],2,-0.991025160874229,-2.1035825149896095
26,2,0.1,16,True,[100000],2,-0.991025160874229,-2.1035825149891485
27,2,0.1,16,True,[100000],2,-0.991025160874229,-2.1035825149864538
28,2,0.1,16,True,[100000],2,-0.991025160874229,-2.103582514988055
29,2,0.1,16,True,[100000],4,-0.991025160874229,-1.5346629552799702
30,2,0.1,16,True,[100000],4,-0.991025160874229,-0.996919018147101
31,2,0.1,16,True,[100000],4,-0.991025160874229,-0.9960940973271623
32,2,0.1,16,True,[100000],4,-0.991025160874229,-1.015195176042653
33,2,0.1,16,True,[100000],4,-0.991025160874229,-1.0030788293026325
34,2,0.1,16,True,[100000],4,-0.991025160874229,-1.0048638069684739
