,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,target_dimension,nll_source,nll_learned
0,2,0.1,2,True,100000,2,2,-0.8224851072267567,-0.8231989046244167
1,2,0.1,2,True,100000,4,2,-0.8224851072267567,-0.8178359150133961
2,2,0.1,2,True,100000,6,2,-0.8224851072267567,-0.8198166991154929
3,2,0.1,4,True,100000,2,2,-0.9622010238193581,-0.9997647714812729
4,2,0.1,4,True,100000,2,4,-0.9622010238193581,-2.1144764899576556
5,2,0.1,4,True,100000,4,2,-0.9622010238193581,-1.0001285596210536
6,2,0.1,4,True,100000,4,4,-0.9622010238193581,-1.1645068686234126
7,2,0.1,4,True,100000,6,2,-0.9622010238193581,-1.0000376236476811
8,2,0.1,4,True,100000,6,4,-0.9622010238193581,-0.9660427410478005
9,2,0.1,8,True,100000,2,2,-0.6720314744915632,-0.9827596054729528
10,2,0.1,8,True,100000,2,4,-0.6720314744915632,-1.4762221473449648
11,2,0.1,8,True,100000,2,6,-0.6720314744915632,-1.4762221473449855
12,2,0.1,8,True,100000,2,8,-0.6720314744915632,-1.4762221473449706
13,2,0.1,8,True,100000,4,2,-0.6720314744915632,-2.8684772705785444
14,2,0.1,8,True,100000,4,4,-0.6720314744915632,-0.7207378051375286
15,2,0.1,8,True,100000,4,6,-0.6720314744915632,-0.8232733164233434
16,2,0.1,8,True,100000,4,8,-0.6720314744915632,-0.7280702816887927
17,2,0.1,8,True,100000,6,2,-0.6720314744915632,-0.9486132183676677
18,2,0.1,8,True,100000,6,4,-0.6720314744915632,-0.7385637810475824
19,2,0.1,8,True,100000,6,6,-0.6720314744915632,-0.7023566874974266
20,2,0.1,8,True,100000,6,8,-0.6720314744915632,-0.6978069185894766
21,2,0.1,16,True,100000,2,2,-0.9869568445476484,-1.0002772237850597
22,2,0.1,16,True,100000,2,4,-0.9869568445476484,-1.8227356417703715
23,2,0.1,16,True,100000,2,6,-0.9869568445476484,-1.822735641770938
24,2,0.1,16,True,100000,2,8,-0.9869568445476484,-1.8227356417714948
25,2,0.1,16,True,100000,2,10,-0.9869568445476484,-1.8227356417702236
26,2,0.1,16,True,100000,2,12,-0.9869568445476484,-1.8227356417698644
27,2,0.1,16,True,100000,2,14,-0.9869568445476484,-1.822735641769393
28,2,0.1,16,True,100000,2,16,-0.9869568445476484,-1.8227356417707807
29,2,0.1,16,True,100000,4,2,-0.9869568445476484,-0.9995319160506587
30,2,0.1,16,True,100000,4,4,-0.9869568445476484,-0.9902633402983093
31,2,0.1,16,True,100000,4,6,-0.9869568445476484,-0.9879297186012864
32,2,0.1,16,True,100000,4,8,-0.9869568445476484,-0.9879717540873939
33,2,0.1,16,True,100000,4,10,-0.9869568445476484,-1.14338378475127
34,2,0.1,16,True,100000,4,12,-0.9869568445476484,nan
35,2,0.1,16,True,100000,4,14,-0.9869568445476484,nan
36,2,0.1,16,True,100000,4,16,-0.9869568445476484,nan
37,2,0.1,16,True,100000,6,2,-0.9869568445476484,-0.9991074864224111
38,2,0.1,16,True,100000,6,4,-0.9869568445476484,-0.9908222348880534
39,2,0.1,16,True,100000,6,6,-0.9869568445476484,-0.988186960084502
40,2,0.1,16,True,100000,6,8,-0.9869568445476484,-0.988062385961774
41,2,0.1,16,True,100000,6,10,-0.9869568445476484,nan
42,2,0.1,16,True,100000,6,12,-0.9869568445476484,nan
43,2,0.1,16,True,100000,6,14,-0.9869568445476484,-0.9949355296496368
44,2,0.1,16,True,100000,6,16,-0.9869568445476484,nan
45,2,0.5,2,True,100000,2,2,-0.9744686141518817,-0.9756496404820653
46,2,0.5,2,True,100000,4,2,-0.9744686141518817,-0.9761349932290923
47,2,0.5,2,True,100000,6,2,-0.9744686141518817,-0.977094106372724
48,2,0.5,4,True,100000,2,2,-0.9535258799462698,-0.9540054433589062
49,2,0.5,4,True,100000,2,4,-0.9535258799462698,-1.5475112715685704
50,2,0.5,4,True,100000,4,2,-0.9535258799462698,-0.9553333159567285
51,2,0.5,4,True,100000,4,4,-0.9535258799462698,-2.025135417599758
52,2,0.5,4,True,100000,6,2,-0.9535258799462698,-0.9531307548183894
53,2,0.5,4,True,100000,6,4,-0.9535258799462698,-4.547285647944465
54,2,0.5,8,True,100000,2,2,-0.9897048170767525,-1.017902669689792
55,2,0.5,8,True,100000,2,4,-0.9897048170767525,-2.99634927225653
56,2,0.5,8,True,100000,2,6,-0.9897048170767525,-2.9963492722559995
57,2,0.5,8,True,100000,2,8,-0.9897048170767525,-2.9963492722550327
58,2,0.5,8,True,100000,4,2,-0.9897048170767525,-0.9896210178932902
59,2,0.5,8,True,100000,4,4,-0.9897048170767525,-0.9895589173528527
60,2,0.5,8,True,100000,4,6,-0.9897048170767525,-0.9896074349146484
61,2,0.5,8,True,100000,4,8,-0.9897048170767525,-0.9896707758350966
62,2,0.5,8,True,100000,6,2,-0.9897048170767525,-0.9895613236158509
63,2,0.5,8,True,100000,6,4,-0.9897048170767525,-1.8855413127474137
64,2,0.5,8,True,100000,6,6,-0.9897048170767525,nan
65,2,0.5,8,True,100000,6,8,-0.9897048170767525,nan
66,2,0.5,16,True,100000,2,2,-0.9999026961645989,-0.9999102309697041
67,2,0.5,16,True,100000,2,4,-0.9999026961645989,-2.8706527361394083
68,2,0.5,16,True,100000,2,6,-0.9999026961645989,-2.8706527361542324
69,2,0.5,16,True,100000,2,8,-0.9999026961645989,-2.8706527362318974
70,2,0.5,16,True,100000,2,10,-0.9999026961645989,-2.870652736042173
71,2,0.5,16,True,100000,2,12,-0.9999026961645989,-2.870652736007109
72,2,0.5,16,True,100000,2,14,-0.9999026961645989,-2.870652735987037
73,2,0.5,16,True,100000,2,16,-0.9999026961645989,-2.8706527361184087
74,2,0.5,16,True,100000,4,2,-0.9999026961645989,-0.9999272213867209
75,2,0.5,16,True,100000,4,4,-0.9999026961645989,-0.9999443292377489
76,2,0.5,16,True,100000,4,6,-0.9999026961645989,-2.778282237427168
77,2,0.5,16,True,100000,4,8,-0.9999026961645989,-2.553342869193796
78,2,0.5,16,True,100000,4,10,-0.9999026961645989,-2.6291898205425532
79,2,0.5,16,True,100000,4,12,-0.9999026961645989,nan
80,2,0.5,16,True,100000,4,14,-0.9999026961645989,-2.377680402728185
81,2,0.5,16,True,100000,4,16,-0.9999026961645989,nan
82,2,0.5,16,True,100000,6,2,-0.9999026961645989,-1.0095074095384091
83,2,0.5,16,True,100000,6,4,-0.9999026961645989,-1.7450208606010997
84,2,0.5,16,True,100000,6,6,-0.9999026961645989,-1.953968894958346
85,2,0.5,16,True,100000,6,8,-0.9999026961645989,-3.441860684774277
86,2,0.5,16,True,100000,6,10,-0.9999026961645989,-3.111627884861347
87,2,0.5,16,True,100000,6,12,-0.9999026961645989,nan
88,2,0.5,16,True,100000,6,14,-0.9999026961645989,nan
89,2,0.5,16,True,100000,6,16,-0.9999026961645989,-1.9304752278851036
90,2,1.0,2,True,100000,2,2,-0.9981800759887333,-0.9981824326491525
91,2,1.0,2,True,100000,4,2,-0.9981800759887333,-0.998042854316122
92,2,1.0,2,True,100000,6,2,-0.9981800759887333,-0.9981509676720197
93,2,1.0,4,True,100000,2,2,-0.9949040082952474,-0.9950425113261955
94,2,1.0,4,True,100000,2,4,-0.9949040082952474,-1.6338090274801285
95,2,1.0,4,True,100000,4,2,-0.9949040082952474,-2.3348714583440855
96,2,1.0,4,True,100000,4,4,-0.9949040082952474,-1.7820401461799424
97,2,1.0,4,True,100000,6,2,-0.9949040082952474,-0.9950665620538716
98,2,1.0,4,True,100000,6,4,-0.9949040082952474,-0.9951126100676679
99,2,1.0,8,True,100000,2,2,-0.9998203775835903,-1.946424397327316
100,2,1.0,8,True,100000,2,4,-0.9998203775835903,nan
101,2,1.0,8,True,100000,2,6,-0.9998203775835903,nan
102,2,1.0,8,True,100000,2,8,-0.9998203775835903,nan
103,2,1.0,8,True,100000,4,2,-0.9998203775835903,-1.013118456965331
104,2,1.0,8,True,100000,4,4,-0.9998203775835903,-0.9998555054926588
105,2,1.0,8,True,100000,4,6,-0.9998203775835903,-1.753895653592628
106,2,1.0,8,True,100000,4,8,-0.9998203775835903,-1.6216964942920629
107,2,1.0,8,True,100000,6,2,-0.9998203775835903,nan
108,2,1.0,8,True,100000,6,4,-0.9998203775835903,-1.0019784398074463
109,2,1.0,8,True,100000,6,6,-0.9998203775835903,-0.9999443882014897
110,2,1.0,8,True,100000,6,8,-0.9998203775835903,-0.9999447461605739
111,2,1.0,16,True,100000,2,2,-0.9990512109297374,-0.9990488468204646
112,2,1.0,16,True,100000,2,4,-0.9990512109297374,-3.1482589849521236
113,2,1.0,16,True,100000,2,6,-0.9990512109297374,-3.1482589849516245
114,2,1.0,16,True,100000,2,8,-0.9990512109297374,-3.1482589849525158
115,2,1.0,16,True,100000,2,10,-0.9990512109297374,-3.1482589849508034
116,2,1.0,16,True,100000,2,12,-0.9990512109297374,-3.148258984951005
117,2,1.0,16,True,100000,2,14,-0.9990512109297374,-3.1482589849478204
118,2,1.0,16,True,100000,2,16,-0.9990512109297374,-3.1482589849493596
119,2,1.0,16,True,100000,4,2,-0.9990512109297374,-1.994981315983645
120,2,1.0,16,True,100000,4,4,-0.9990512109297374,-1.9961220344742057
121,2,1.0,16,True,100000,4,6,-0.9990512109297374,-1.0164059215365528
122,2,1.0,16,True,100000,4,8,-0.9990512109297374,nan
123,2,1.0,16,True,100000,4,10,-0.9990512109297374,nan
124,2,1.0,16,True,100000,4,12,-0.9990512109297374,-3.9878397002901944
125,2,1.0,16,True,100000,4,14,-0.9990512109297374,-3.579540103151868
126,2,1.0,16,True,100000,4,16,-0.9990512109297374,-2.2787567623216747
127,2,1.0,16,True,100000,6,2,-0.9990512109297374,-0.9990469426437477
128,2,1.0,16,True,100000,6,4,-0.9990512109297374,nan
129,2,1.0,16,True,100000,6,6,-0.9990512109297374,-2.2647109998660993
130,2,1.0,16,True,100000,6,8,-0.9990512109297374,-2.4107418065486588
131,2,1.0,16,True,100000,6,10,-0.9990512109297374,nan
132,2,1.0,16,True,100000,6,12,-0.9990512109297374,nan
133,2,1.0,16,True,100000,6,14,-0.9990512109297374,nan
134,2,1.0,16,True,100000,6,16,-0.9990512109297374,-3.2640116495457314
135,4,0.1,2,True,100000,2,2,-1.9032145661653899,-1.9027778805032134
136,4,0.1,2,True,100000,4,2,-1.9032145661653899,-1.9005712552932614
137,4,0.1,2,True,100000,6,2,-1.9032145661653899,-1.9367976828392814
138,4,0.1,4,True,100000,2,2,-1.8249289420130645,-1.9195359576722184
139,4,0.1,4,True,100000,2,4,-1.8249289420130645,-1.8478127074082544
140,4,0.1,4,True,100000,4,2,-1.8249289420130645,-1.9161053516418511
141,4,0.1,4,True,100000,4,4,-1.8249289420130645,-1.8372598810317402
142,4,0.1,4,True,100000,6,2,-1.8249289420130645,-1.9382433794220406
143,4,0.1,4,True,100000,6,4,-1.8249289420130645,-1.8596961905838383
144,4,0.1,8,True,100000,2,2,-1.909213446616925,-1.961859026669279
145,4,0.1,8,True,100000,2,4,-1.909213446616925,-1.9685201410097688
146,4,0.1,8,True,100000,2,6,-1.909213446616925,-2.045364983843058
147,4,0.1,8,True,100000,2,8,-1.909213446616925,-3.2398738673066556
148,4,0.1,8,True,100000,4,2,-1.909213446616925,-1.9651473517846083
149,4,0.1,8,True,100000,4,4,-1.909213446616925,-1.9633608263475675
150,4,0.1,8,True,100000,4,6,-1.909213446616925,-2.4982602865028154
151,4,0.1,8,True,100000,4,8,-1.909213446616925,-2.572781655670932
152,4,0.1,8,True,100000,6,2,-1.909213446616925,-1.9917470198872362
153,4,0.1,8,True,100000,6,4,-1.909213446616925,-1.981407996662861
154,4,0.1,8,True,100000,6,6,-1.909213446616925,-1.9797683775903459
155,4,0.1,8,True,100000,6,8,-1.909213446616925,-1.9794463274328655
156,4,0.1,16,True,100000,2,2,-1.8985165548669167,-1.9322662042793737
157,4,0.1,16,True,100000,2,4,-1.8985165548669167,-1.957327395054894
158,4,0.1,16,True,100000,2,6,-1.8985165548669167,-2.055716117874355
159,4,0.1,16,True,100000,2,8,-1.8985165548669167,-2.1844275288927224
160,4,0.1,16,True,100000,2,10,-1.8985165548669167,-2.2283417511356114
161,4,0.1,16,True,100000,2,12,-1.8985165548669167,-2.3958225058745923
162,4,0.1,16,True,100000,2,14,-1.8985165548669167,-3.2383876355938224
163,4,0.1,16,True,100000,2,16,-1.8985165548669167,-4.23570852107911
164,4,0.1,16,True,100000,4,2,-1.8985165548669167,-2.0815627998095882
165,4,0.1,16,True,100000,4,4,-1.8985165548669167,-1.9194321052271903
166,4,0.1,16,True,100000,4,6,-1.8985165548669167,-1.9153409969696438
167,4,0.1,16,True,100000,4,8,-1.8985165548669167,-1.914629579847628
168,4,0.1,16,True,100000,4,10,-1.8985165548669167,-1.9158593052801762
169,4,0.1,16,True,100000,4,12,-1.8985165548669167,-1.9140790054372543
170,4,0.1,16,True,100000,4,14,-1.8985165548669167,-1.9129489475128385
171,4,0.1,16,True,100000,4,16,-1.8985165548669167,-1.9153290457657903
172,4,0.1,16,True,100000,6,2,-1.8985165548669167,-2.9100173020601723
173,4,0.1,16,True,100000,6,4,-1.8985165548669167,nan
174,4,0.1,16,True,100000,6,6,-1.8985165548669167,nan
