,name,length,ci_length,target_dimension,nll_source,nll_learned
0,BINS_2_2_2G,1000,3,2,0.980959005881562,2.7806660536875527
1,BINS_2_2_2G,1000,3,3,0.980959005881562,2.829586713590682
2,BINS_2_2_2G,1000,3,4,0.980959005881562,2.833553734554507
3,BINS_2_2_2G,10000,3,2,0.980959005881562,2.8516578382446305
4,BINS_2_2_2G,10000,3,3,0.980959005881562,2.821420942049775
5,BINS_2_2_2G,10000,3,4,0.980959005881562,5.570666512288411
6,BINL_2_10_2G,1000,3,2,0.9999978894777088,3.549649232062947
7,BINL_2_10_2G,1000,3,3,0.9999978894777088,2.8617849359981387
8,BINL_2_10_2G,1000,3,4,0.9999978894777088,0.7049803474353392
9,BINL_2_10_2G,1000,3,5,0.9999978894777088,2.424401932955321
10,BINL_2_10_2G,1000,3,6,0.9999978894777088,2.8957571998712335
11,BINL_2_10_2G,1000,3,7,0.9999978894777088,2.060125850981026
12,BINL_2_10_2G,10000,3,2,0.9999978894777088,2.218386987714088
13,BINL_2_10_2G,10000,3,3,0.9999978894777088,2.2187133435363835
14,BINL_2_10_2G,10000,3,4,0.9999978894777088,2.2286870846628024
15,BINL_2_10_2G,10000,3,5,0.9999978894777088,2.3008733284389504
16,BINL_2_10_2G,10000,3,6,0.9999978894777088,2.2121644506857963
17,BINL_2_10_2G,10000,3,7,0.9999978894777088,4.3404624350743575
