,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse
0,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,2,5,2.2403369219378924,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.5988570865944519,0.0008038257417361931
1,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,3,5,4.322229390636816,"[9.8528872e-22 9.8528872e-22 9.8528872e-22 ... 9.8528872e-22 9.8528872e-22
 9.8528872e-22]",18.81163485087283,0.002148382977307469
2,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,4,5,5.2285561161640635,"[2.41625354e-23 2.41625354e-23 2.41625354e-23 ... 2.41625354e-23
 2.41625354e-23 2.41625354e-23]",23.14922149881721,0.004563177356595824
3,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,2,5,2.2365600366936644,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.5885680778667502,0.0008415679540039791
4,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,3,5,3.9599234044818052,"[1.39062932e-21 1.39062932e-21 1.39062932e-21 ... 1.39062932e-21
 1.39062932e-21 1.39062932e-21]",19.70608669218254,0.005284990846947572
5,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,4,5,4.385456986230148,"[2.29009032e-21 2.29009032e-21 2.29009032e-21 ... 2.29009032e-21
 2.29009032e-21 2.29009032e-21]",13.3403207907312,0.0036731957349012147
6,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,2,5,5.90802413318763,"[2.86172148e-24 2.86172148e-24 2.86172148e-24 ... 2.86172148e-24
 2.86172148e-24 2.86172148e-24]",24.65512124672553,0.009322436897806477
7,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,3,5,4.835275238576172,"[3.01801266e-22 3.01801266e-22 3.01801266e-22 ... 3.01801266e-22
 3.01801266e-22 3.01801266e-22]",20.937546233346453,0.004321884060256355
8,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,4,5,5.4372056600554,"[3.05054284e-23 3.05054284e-23 3.05054284e-23 ... 3.05054284e-23
 3.05054284e-23 3.05054284e-23]",23.605632737024692,0.006318051460606077
9,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,2,5,2.2187259452833676,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.5231296371351751,0.0007728447097504052
10,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,3,5,2.4802400453449946,"[9.37492765e-21 9.37492765e-21 9.37492765e-21 ... 9.37492765e-21
 9.37492765e-21 9.37492765e-21]",2.0056088586722853,0.0011317759010642998
11,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,4,5,5.217375772824807,"[4.90758654e-22 4.90758654e-22 4.90758654e-22 ... 4.90758654e-22
 4.90758654e-22 4.90758654e-22]",21.060680700455737,0.0020017307342853202
12,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,2,5,3.0504677114714083,"[6.16194352e-21 6.16194352e-21 6.16194352e-21 ... 6.16194352e-21
 6.16194352e-21 6.16194352e-21]",9.685758251791816,0.001605297975610656
13,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,3,5,3.487377505609155,"[1.54855692e-21 1.54855692e-21 1.54855692e-21 ... 1.54855692e-21
 1.54855692e-21 1.54855692e-21]",15.126481153264583,0.0027195937632567245
14,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,4,5,4.434488273618735,"[2.47973081e-22 2.47973081e-22 2.47973081e-22 ... 2.47973081e-22
 2.47973081e-22 2.47973081e-22]",21.350040233836992,0.0016348629681435297
15,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,8,2,5,2.573213142218525,"[8.44605347e-21 8.44605347e-21 8.44605347e-21 ... 8.44605347e-21
 8.44605347e-21 8.44605347e-21]",6.1888319039851005,0.0009537839472968671
16,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,8,3,5,3.246068021366251,"[8.98874153e-22 8.98874153e-22 8.98874153e-22 ... 8.98874153e-22
 8.98874153e-22 8.98874153e-22]",15.23655042023152,0.0017966030982150972
17,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,8,4,5,4.978863003223139,"[7.86103945e-22 7.86103945e-22 7.86103945e-22 ... 7.86103945e-22
 7.86103945e-22 7.86103945e-22]",23.115688473929495,0.002352494874692809
18,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,2,5,2.4595863836932135,"[9.71711089e-21 9.71711089e-21 9.71711089e-21 ... 9.71711089e-21
 9.71711089e-21 9.71711089e-21]",3.2934074900355075,0.0006473824315692134
19,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,3,5,3.013942195842475,"[9.20614166e-21 9.20614166e-21 9.20614166e-21 ... 9.20614166e-21
 9.20614166e-21 9.20614166e-21]",5.753912785510795,0.0012125685549903473
20,blended_known,S_5,10,5,1,2.0307725906993968,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,4,5,5.677294354421017,"[4.1272558e-25 4.1272558e-25 4.1272558e-25 ... 4.1272558e-25 4.1272558e-25
 4.1272558e-25]",25.18461567857567,0.0019481157199333107
21,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,2,5,2.3592700495847434,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.9885950938753183,0.0006373263576545931
22,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,3,5,4.272093738600469,"[1.06784646e-21 1.06784646e-21 1.06784646e-21 ... 1.06784646e-21
 1.06784646e-21 1.06784646e-21]",17.15946628202424,0.0024933917095388922
23,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,2,2,4,2,4,5,4.640001460669977,"[7.01655283e-22 7.01655283e-22 7.01655283e-22 ... 7.01655283e-22
 7.01655283e-22 7.01655283e-22]",21.18089692593632,0.00280981477205051
24,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,2,5,2.985827460496104,"[7.16615777e-21 7.16615777e-21 7.16615777e-21 ... 7.16615777e-21
 7.16615777e-21 7.16615777e-21]",7.721985503260878,0.0007008264467930069
25,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,3,5,4.335519200295717,"[7.75839165e-22 7.75839165e-22 7.75839165e-22 ... 7.75839165e-22
 7.75839165e-22 7.75839165e-22]",20.38878951035188,0.004121009519728199
26,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,2,2,4,3,4,5,5.387280077405567,"[4.95882841e-23 4.95882841e-23 4.95882841e-23 ... 4.95882841e-23
 4.95882841e-23 4.95882841e-23]",21.52853473497638,0.0023731333274076027
27,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,2,5,3.586386163966215,"[7.70982362e-21 7.70982362e-21 7.70982362e-21 ... 7.70982362e-21
 7.70982362e-21 7.70982362e-21]",6.648717934209648,0.0010099341631420536
28,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,3,5,3.638191586102684,"[3.27409436e-21 3.27409436e-21 3.27409436e-21 ... 3.27409436e-21
 3.27409436e-21 3.27409436e-21]",15.420689507856114,0.0014378459217595872
29,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,4,5,3.6945232089977535,"[7.41415217e-21 7.41415217e-21 7.41415217e-21 ... 7.41415217e-21
 7.41415217e-21 7.41415217e-21]",11.346306982622103,0.010213168244437866
30,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,2,5,6.185712376908748,"[2.52340616e-22 2.52340616e-22 2.52340616e-22 ... 2.52340616e-22
 2.52340616e-22 2.52340616e-22]",20.544796513645604,0.00202550962528908
31,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,3,5,8.03887433889842,"[5.11182197e-32 5.11182197e-32 5.11182197e-32 ... 5.11182197e-32
 5.11182197e-32 5.11182197e-32]",35.1836186052188,0.011146631931684612
