,name,length,ci_length,target_dimension,nll_source,nll_learned
0,BINS_2_2,1000,8,2,0.8322794248949563,1.0472116498794013
1,BINS_2_2,1000,8,3,0.8322794248949563,0.5630408607035935
2,BINS_2_2,1000,8,4,0.8322794248949563,-0.04363654337190013
3,BINS_2_2,10000,8,2,0.8322794248949563,0.8284139077325395
4,BINS_2_2,10000,8,3,0.8322794248949563,0.8288108519530203
5,BINS_2_2,10000,8,4,0.8322794248949563,0.8284943863614895
6,BINS_2_2,100000,8,2,0.8322794248949563,0.8344921411184695
7,BINS_2_2,100000,8,3,0.8322794248949563,0.8338960924907045
8,BINS_2_2,100000,8,4,0.8322794248949563,0.834099432757464
9,BINS_2_2,1000000,8,2,0.8322794248949563,0.8309940567302754
10,BINS_2_2,1000000,8,3,0.8322794248949563,0.8316872344283812
11,BINS_2_2,1000000,8,4,0.8322794248949563,0.8317371032933193
12,BINS_2_2,10000000,8,2,0.8322794248949563,0.8315971173493502
13,BINS_2_2,10000000,8,3,0.8322794248949563,2.180417457286119
14,BINS_2_2,10000000,8,4,0.8322794248949563,4.06420105229886
15,BINL_2_10,1000,8,2,0.9924454327088736,1.9625243816380609
16,BINL_2_10,1000,8,3,0.9924454327088736,1.6389617779470382
17,BINL_2_10,1000,8,4,0.9924454327088736,1.5711113245956638
18,BINL_2_10,1000,8,5,0.9924454327088736,1.8022600841167828
19,BINL_2_10,1000,8,6,0.9924454327088736,1.7726281414298704
20,BINL_2_10,1000,8,7,0.9924454327088736,1.8260560764566713
21,BINL_2_10,1000,8,8,0.9924454327088736,1.988695346306778
22,BINL_2_10,1000,8,9,0.9924454327088736,1.8393350013897771
23,BINL_2_10,1000,8,10,0.9924454327088736,1.6346606800553094
24,BINL_2_10,1000,8,11,0.9924454327088736,2.0163718146849887
25,BINL_2_10,1000,8,12,0.9924454327088736,2.2041756037856577
26,BINL_2_10,1000,8,13,0.9924454327088736,2.6442361703308506
27,BINL_2_10,1000,8,14,0.9924454327088736,2.6841844397162262
28,BINL_2_10,1000,8,15,0.9924454327088736,3.2633734770108616
29,BINL_2_10,1000,8,16,0.9924454327088736,1.5772726645268558
30,BINL_2_10,1000,8,17,0.9924454327088736,1.738269346565009
31,BINL_2_10,1000,8,18,0.9924454327088736,1.6268885804987279
32,BINL_2_10,1000,8,19,0.9924454327088736,2.443640980322257
33,BINL_2_10,1000,8,20,0.9924454327088736,2.2415285416621793
34,BINL_2_10,10000,8,2,0.9924454327088736,1.0081199995443912
35,BINL_2_10,10000,8,3,0.9924454327088736,1.0083717204062046
36,BINL_2_10,10000,8,4,0.9924454327088736,1.006905990205508
37,BINL_2_10,10000,8,5,0.9924454327088736,1.0064937175140358
38,BINL_2_10,10000,8,6,0.9924454327088736,1.0049867243953552
39,BINL_2_10,10000,8,7,0.9924454327088736,4.281067861828216
40,BINL_2_10,10000,8,8,0.9924454327088736,1.0053854247042455
41,BINL_2_10,10000,8,9,0.9924454327088736,1.005550601629818
42,BINL_2_10,10000,8,10,0.9924454327088736,2.3432477452486236
43,BINL_2_10,10000,8,11,0.9924454327088736,1.0025573654273687
44,BINL_2_10,10000,8,12,0.9924454327088736,2.050617644081045
